category	rva	size	status	raw_name	normalized_name	api_evidence
winapi	0x0a0750	464	tracked	?Render@CMenuState@@UAEHXZ	?Render@CMenuState@@UAEHXZ	PostMessageA
winapi	0x0ab310	397	tracked	??0CSingleFrameMessage@@QAE@XZ	??0CSingleFrameMessage@@QAE@XZ	CopyRect
winapi	0x0b5460	2324	tracked	?Stub_0b5460@CNetMgr@@QAEXXZ	?Stub_0b5460@CNetMgr@@QAEXXZ	timeGetTime
winapi	0x0b6b40	670	greenfield	FUN_004b6b40	FUN_004b6b40	timeGetTime;wsprintfA
winapi	0x0b6e90	845	greenfield	FUN_004b6e90	FUN_004b6e90	SetRect
directx-wrapper-caller	0x0b77a0	181	greenfield	FUN_004b77a0	FUN_004b77a0	calls 0x1780b0 (DPLAYX.#1)
directx-wrapper-caller	0x0b78b0	383	tracked	?Stub_0b78b0@CNetMgr@@QAEXXZ	?Stub_0b78b0@CNetMgr@@QAEXXZ	calls 0x178280 (DPLAYX.#2)
winapi	0x0b7b10	636	tracked	?Stub_0b7b10@CNetMgr@@QAEXXZ	?Stub_0b7b10@CNetMgr@@QAEXXZ	EndDialog;MessageBeep;SendMessageA
winapi	0x0b7ec0	125	greenfield	FUN_004b7ec0	FUN_004b7ec0	LoadStringA
winapi	0x0b8cf0	571	tracked	?Stub_0b8cf0@CNetMgr@@QAEXXZ	?Stub_0b8cf0@CNetMgr@@QAEXXZ	GetDlgItem
winapi	0x0b9750	1870	tracked	?Stub_0b9750@CNetMgr@@QAEXXZ	?Stub_0b9750@CNetMgr@@QAEXXZ	PostMessageA;timeGetTime
winapi	0x0bad40	108	tracked	?OnMultiPause@CNetMgr@@QAEXXZ	?OnMultiPause@CNetMgr@@QAEXXZ	PostMessageA
winapi	0x0bae40	132	tracked	?OnOutOfSync@CNetMgr@@QAEXXZ	?OnOutOfSync@CNetMgr@@QAEXXZ	PostMessageA
winapi	0x0bb3e0	229	greenfield	FUN_004bb3e0	FUN_004bb3e0	GetWindowTextLengthA
winapi	0x0bb700	613	greenfield	FUN_004bb700	FUN_004bb700	GetAsyncKeyState;Sleep;timeGetTime;wsprintfA
winapi	0x0bba10	507	greenfield	FUN_004bba10	FUN_004bba10	Sleep
winapi	0x0bc070	115	tracked	?FrameSyncWait@CNetMgr@@QAEIXZ	?FrameSyncWait@CNetMgr@@QAEIXZ	timeGetTime
